LABEL,X,Y,Z
LF,870.000000000,340.000000000,155.000000000
LA,1090.00000000,340.000000000,160.000000000
LBJ,992.000000000,610.000000000,165.000000000
UF,870.000000000,340.000000000,328.000000000
UA,1060.00000000,340.000000000,315.000000000
UBJ,1007.00000000,585.000000000,365.000000000
PRO,1000.00000000,510.000000000,340.000000000
PRI,1000.00000000,390.579986572,670.000000000
TRO,942.000000000,632.000000000,210.000000000
TRI,996.000000000,355.000000000,194.000000000
DC,1000.00000000,50.0000000000,700.000000000
RD,1000.00000000,253.889999390,740.000000000
WC,1000.00000000,675.000000000,268.399993896
RPA1,1000.00000000,320.000000000,630.000000000
RPA2,1020.00000000,320.000000000,630.000000000
CP,1000.00000000,675.000000000,0.0
WSP,1000.00000000,575.000000000,265.606750488
Part 1 C of G,220.000000000,415.000000000,185.000000000
Part 2 C of G,255.000000000,355.000000000,385.000000000
Part 3 C of G,30.0000000000,475.000000000,390.000000000
Part 4 C of G,160.000000000,450.000000000,350.000000000
Part 5 C of G,220.000000000,190.000000000,475.000000000
Part 6 C of G,135.000000000,790.000000000,335.000000000
