LABEL,X,Y,Z
Lower wishbone front pivot,870.000000000,340.000000000,155.000000000
Lower wishbone rear pivot,1090.00000000,340.000000000,160.000000000
Lower wishbone outer ball joint,992.000000000,610.000000000,165.000000000
Upper wishbone front pivot,870.000000000,340.000000000,328.000000000
Upper wishbone rear pivot,1060.00000000,340.000000000,315.000000000
Upper wishbone outer ball joint,1007.00000000,585.000000000,365.000000000
Push rod wishbone end,1000.00000000,510.000000000,340.000000000
Push rod rocker end,1000.00000000,390.579986572,670.000000000
Outer track rod ball joint,942.000000000,632.000000000,210.000000000
Inner track rod ball joint,996.000000000,355.000000000,194.000000000
Damper to body point,1000.00000000,50.0000000000,700.000000000
Damper to rocker point,1000.00000000,253.889999390,740.000000000
Wheel spindle point,1000.00000000,575.000000000,265.606750488
Wheel centre point,1000.00000000,675.000000000,268.399993896
Rocker axis 1st point,1000.00000000,320.000000000,630.000000000
Rocker axis 2nd point,1020.00000000,320.000000000,630.000000000
Part 1 C of G,220.000000000,415.000000000,185.000000000
Part 2 C of G,255.000000000,355.000000000,385.000000000
Part 3 C of G,30.0000000000,475.000000000,390.000000000
Part 4 C of G,160.000000000,450.000000000,350.000000000
Part 5 C of G,220.000000000,190.000000000,475.000000000
Part 6 C of G,135.000000000,790.000000000,335.000000000
